item_id,order_id,product_id,quantity,unit_price,discount_percent
80,533,202,6,2616.22,94.89
81,339,322,2,4332.54,30.03
82,317,419,6,2444.28,29.57
83,131,197,7,4006.33,37.91
84,179,309,7,3310.23,0.04
85,294,216,7,4725.27,60.67
86,330,477,8,2680.85,21.37
87,485,174,2,1738.53,66.39
88,635,344,2,4919.62,75.11
89,689,318,4,4849.05,14.74
90,48,251,8,3687.08,76.85
91,467,425,10,1206.89,69.64
92,507,410,4,928.05,68.76
93,110,436,4,1096.53,95.8
94,531,476,1,3366.56,91.75
95,125,468,3,4818.43,66.76
96,573,325,8,3695.28,71.93
97,517,437,9,2703.19,15.92
98,487,461,5,4523.07,83.99
99,284,497,4,1683.85,7.75
100,293,241,5,2048.29,89.3
101,83,142,3,1426.01,69.39
102,220,66,7,2475.22,54.26
103,426,64,4,5005.7,38.95
104,599,21,10,2313.27,0.59
105,361,306,7,5128.02,95.34
106,430,226,8,1355.56,43.58
107,30,399,6,4029.8,79.81
108,170,479,3,5885.3,53.41
109,404,28,2,3874.36,13.57
110,473,187,1,1597.93,32.74
111,466,335,6,4579.32,37.91
112,2470,432,5,5017.72,47.03
113,553,54,6,1384.12,6.86
114,668,42,1,5700.19,19.94
115,21,157,-2,801.01,66.95
116,578,224,8,4211.82,76.69
117,172,118,3,5790.09,10.81
118,27,320,10,4080.22,95.82
119,407,204,2,3572.98,83.06
120,249,105,5,5109.24,60.04
121,124,43,6,3219.83,66.15
122,71,519,6,125.28,42.01
123,502,109,7,5766.69,63.56
124,471,157,7,1098.01,52.17
125,667,277,10,4858.79,53.82
126,496,477,-4,4963.12,59.25
127,331,252,2,1709.62,45.08
128,476,389,6,220.76,85.1
129,187,500,4,2161.21,25.84
130,287,283,9,110.4,94.81
131,88,248,7,2957.04,75.82
132,488,503,8,4767.95,9.31
133,227,415,4,1871.93,58.16
134,485,353,7,5979.96,55.04
135,361,465,5,1874.41,23.05
136,198,324,2,4470.14,95.09
137,190,197,4,4444.7,27.65
138,604,290,2,5004.14,29.62
139,370,184,5,134.18,53.41
140,281,47,1,3342.49,69.74
141,130,503,-1,5242.68,57.41
142,481,491,8,2077.2,96.55
143,259,490,2,4941.59,40.07
144,76,55,3,937.73,56.28
145,312,88,4,754.79,76.44
146,621,232,9,2313.25,90.85
147,305,440,5,3433.35,6.02
148,102,213,4,1624.64,8.12
149,246,178,9,496.64,0.27
150,462,482,5,244.21,28.81
151,290,465,2,4139.94,92.39
152,641,203,7,732.92,22.48
153,153,273,3,474.89,16.59
154,315,296,8,789.9,68.87
155,413,279,9,3262.89,43.78
156,613,41,7,4420.48,60.37
157,27,94,4,5773.37,83.6
158,590,22,5,3478.67,76.31
159,180,482,9,3926.48,91.61
160,186,447,8,5815.88,47.0
161,419,342,6,4037.29,85.77
162,338,422,8,1764.9,94.52
163,564,38,8,573.96,25.24
164,119,414,9,4958.32,0.12
165,556,474,7,372.51,51.84
166,638,511,8,4571.94,20.36
167,563,135,5,2656.79,69.83
168,125,30,10,4805.92,70.98
169,319,15,9,2477.54,22.47
170,117,473,2,3903.87,15.4
171,299,280,7,5016.61,98.02
172,250,468,9,910.62,19.06
173,614,140,2,1693.67,79.0
174,425,349,9,1639.68,0.26
175,306,502,3,2706.96,48.43
176,341,387,8,5600.47,86.96
177,245,393,4,5143.28,41.08
178,326,485,7,2347.17,66.37
179,668,156,8,5790.71,12.62
180,605,340,2,5251.43,44.03
181,539,468,1,4348.54,41.0
182,671,159,2,2843.47,96.92
183,347,408,2,5118.0,85.23
184,547,390,6,3779.46,88.74
185,500,37,10,457.1,63.12
186,295,233,2,2632.13,9.84
187,649,103,8,1039.87,29.95
188,30,48,6,4787.05,29.34
189,384,442,3,1502.97,41.21
190,699,185,3,1091.66,60.95
191,392,247,8,5481.33,14.31
192,473,261,8,1569.19,0.94
193,477,295,9,989.95,44.17
194,354,307,7,4157.37,45.68
195,310,204,7,5127.35,10.67
196,391,368,10,1810.44,69.93
197,23,406,5,98.18,86.51
198,51,509,5,4665.66,23.01
199,361,225,4,3744.3,67.78
200,676,141,2,5425.25,64.63
201,317,452,1,3498.46,73.24
202,93,303,6,4497.51,17.56
203,136,375,9,3035.68,27.25
204,169,264,8,5805.94,29.51
205,347,118,8,5779.22,14.08
206,232,407,9,2226.36,79.07
207,15,271,9,785.35,36.86
208,689,269,10,2317.1,63.85
209,381,111,4,2855.29,61.95
210,575,336,10,1367.13,6.32
211,476,310,7,744.22,4.53
212,39,312,8,740.92,23.48
213,551,139,7,2749.18,67.05
214,554,430,10,4466.5,15.45
215,425,102,8,3713.13,93.91
216,287,34,6,1342.75,44.47
217,1941,372,2,5886.52,36.73
218,661,368,1,2418.93,18.98
219,126,466,2,3993.47,64.17
220,612,22,1,4731.43,24.36
221,129,211,2,4987.42,55.42
222,601,222,4,2004.93,14.76
223,611,3,5,5157.52,14.47
224,134,257,3,704.06,86.64
225,135,16,6,4750.41,23.79
226,332,17,3,1628.94,12.68
227,432,117,2,2883.66,77.8
228,526,112,8,3047.84,94.54
229,45,309,8,3877.88,3.12
230,491,412,7,4132.28,49.03
231,455,76,2,1966.57,14.83
232,130,282,10,3816.81,54.84
233,333,391,10,3206.81,45.37
234,620,441,2,4768.92,11.44
235,671,221,7,2736.75,22.85
236,348,465,7,2525.14,9.51
237,438,321,5,2277.09,15.26
238,486,69,2,4999.04,9.32
239,99,382,3,3360.41,58.65
240,576,338,2,2494.31,87.36
241,434,53,5,3622.44,35.16
242,592,520,4,970.64,48.22
243,111,359,9,2236.99,76.26
244,588,232,7,5078.67,97.45
245,637,27,10,5578.05,82.95
246,274,30,3,1675.96,76.24
247,348,360,1,1129.36,14.33
248,674,411,2,894.15,63.32
249,32,94,9,1330.04,41.98
250,350,162,6,1904.24,32.44
251,582,87,1,975.7,75.44
252,51,84,5,2686.52,42.4
253,622,453,7,1675.34,75.49
254,117,354,7,709.79,67.82
255,608,499,9,4019.44,4.54
256,405,57,1,1266.32,94.53
257,141,262,5,2002.33,0.77
258,441,180,3,2312.23,70.37
259,513,363,2,2412.57,74.2
260,447,20,8,5530.92,86.21
261,590,440,10,2456.32,64.01
262,297,118,7,174.1,32.48
263,633,472,6,574.37,84.45
264,250,447,10,2432.68,7.86
265,318,348,4,2031.76,16.81
266,523,117,9,3084.21,90.59
267,358,360,3,1455.8,14.64
268,203,178,10,959.58,75.92
269,78,182,8,2810.52,56.37
270,594,460,10,3875.8,98.65
271,331,324,3,2666.59,46.89
272,647,311,5,3568.95,35.19
273,76,318,8,2738.89,5.69
274,294,79,2,3709.3,50.71
275,474,43,8,5458.85,57.17
276,193,330,10,2879.99,15.09
277,64,462,2,4875.25,83.74
278,87,517,3,282.9,70.76
279,450,163,6,2268.47,28.29
280,419,347,-5,361.57,63.09
281,343,68,6,612.31,67.84
282,291,259,10,5246.01,33.34
283,597,145,6,1895.88,65.61
284,679,402,3,3590.5,93.8
285,318,386,6,4888.45,67.01
286,540,96,7,3075.51,1.82
287,317,185,4,2083.31,76.62
288,197,232,3,971.92,29.58
289,104,520,9,5018.96,88.37
290,39,345,10,829.74,37.67
291,167,186,10,4863.81,16.55
292,449,45,7,2217.58,71.96
293,455,292,8,1442.32,23.92
294,481,199,6,4085.93,57.04
295,452,473,5,4679.84,50.29
296,429,166,4,4817.49,13.84
297,257,54,8,5251.0,55.45
298,106,128,5,549.06,16.03
299,461,151,7,595.7,91.05
300,462,358,1,2518.64,39.65
301,383,242,7,5967.43,37.49
302,29,327,2,5043.1,65.0
303,150,141,-1,1756.93,82.98
304,143,481,8,3711.32,90.59
305,20,263,4,5018.03,54.88
306,624,434,2,4668.23,23.76
307,125,49,4,2547.96,79.39
308,469,65,2,5028.29,49.98
309,549,17,9,3471.53,71.85
310,299,440,1,3708.12,24.06
311,427,192,2,3164.73,36.06
312,539,520,9,3347.2,39.05
313,482,45,7,5887.18,25.37
314,17,366,2,2101.57,73.29
315,644,107,10,4424.36,33.25
316,46,361,9,2064.36,64.28
317,476,491,3,4878.41,6.31
318,469,38,5,1249.47,79.11
319,43,324,5,3116.53,98.91
320,557,485,5,267.89,64.69
321,293,366,1,5201.5,33.19
322,128,377,7,5342.44,74.33
323,396,348,3,3002.41,49.75
324,532,274,2,4376.13,7.89
325,617,185,9,1797.91,10.26
326,336,303,5,2703.2,71.77
327,171,455,6,2710.42,72.68
328,362,446,-3,3854.84,79.15
329,59,77,7,2211.7,80.11
330,696,164,1,899.54,60.76
331,449,36,3,450.04,77.85
332,376,371,7,5699.33,3.24
333,158,461,6,2263.48,76.31
334,588,141,9,2233.35,31.44
335,286,256,2,204.18,18.6
336,531,397,9,750.68,77.5
337,457,220,10,1749.18,91.65
338,503,205,2,857.58,7.41
339,177,456,2,4872.55,96.76
340,328,356,2,3322.48,29.04
341,308,162,3,4772.49,50.88
342,125,206,3,1458.58,49.4
343,370,378,8,4831.79,55.16
344,627,89,2,1890.28,99.96
345,491,421,7,4948.87,7.38
346,325,76,8,2821.71,51.74
347,132,187,-2,2624.08,91.07
348,57,128,9,960.44,16.47
349,331,231,6,5687.52,51.89
350,291,81,5,1218.0,95.64
351,282,129,5,3705.85,9.34
352,657,173,10,5652.56,15.42
353,675,346,10,295.11,86.38
354,84,47,10,1624.7,21.08
355,586,427,10,3852.0,49.8
356,643,297,5,2923.52,80.47
357,416,305,8,484.19,5.99
358,451,426,8,2813.43,34.02
359,148,321,6,4418.49,86.08
360,409,134,6,3114.13,10.62
361,248,478,2,1641.46,24.79
362,100,52,5,5675.04,86.42
363,429,255,3,4890.19,93.38
364,321,195,3,3014.68,51.47
365,511,316,8,187.9,94.52
366,518,469,4,1330.11,35.29
367,52,289,8,3605.24,84.28
368,689,482,5,3243.31,84.72
369,442,138,5,4378.67,76.39
370,375,47,7,354.39,56.18
371,372,296,2,2348.78,45.04
372,564,287,10,4098.37,11.88
373,100,404,6,4779.64,33.91
374,375,148,4,3634.65,40.14
375,42,47,1,865.37,33.3
376,486,468,3,3657.25,51.55
377,336,327,3,2388.08,61.65
378,307,345,-5,4978.32,53.23
379,577,307,8,4903.71,36.84
380,690,113,-4,3523.03,79.68
381,645,28,10,2873.81,96.71
382,593,234,1,3521.96,17.05
383,645,390,3,4938.88,24.22
384,587,113,4,162.68,31.37
385,156,423,4,2491.75,77.5
386,483,64,3,3136.17,56.09
387,679,490,9,2292.11,95.67
388,471,351,9,2158.01,77.2
389,698,271,10,2930.87,95.73
390,286,306,4,5651.84,98.23
391,296,213,8,1936.39,34.88
392,281,295,2,3462.19,54.32
393,405,354,3,1778.19,28.76
394,81,355,8,3953.03,74.73
395,220,207,9,1663.24,56.2
396,279,141,2,3713.28,58.68
397,249,52,9,1392.75,23.28
398,103,424,6,4318.28,10.05
399,141,6,9,5868.57,15.79
400,669,488,8,3920.71,75.59
401,295,329,5,3893.09,90.79
402,92,238,9,4445.18,85.03
403,39,180,7,5299.36,17.58
404,38,407,8,1158.55,74.9
405,297,39,1,1825.43,60.28
406,344,292,8,5935.14,54.33
407,506,138,9,2834.72,19.28
408,116,339,3,4400.16,64.83
409,191,15,6,4755.07,56.78
410,198,180,10,5144.07,89.7
411,438,336,2,2434.96,9.54
412,144,489,6,5618.16,0.68
413,393,242,8,4534.85,95.4
414,310,12,5,3939.42,69.28
415,64,122,8,1875.5,40.54
416,515,319,2,3850.33,94.06
417,377,227,4,5746.3,47.82
418,466,383,7,4226.55,91.28
419,551,224,4,4098.03,59.58
420,84,458,9,4237.41,7.81
421,578,115,1,4981.21,90.29
422,208,154,3,2002.3,52.03
423,120,211,10,2958.53,89.89
424,457,57,8,835.07,41.54
425,578,60,9,2801.15,80.69
426,23,406,5,4907.9,74.58
427,593,75,1,2571.0,70.04
428,555,62,2,5917.52,47.21
429,294,419,3,4625.38,76.58
430,662,431,6,5957.5,38.25
431,387,385,2,4112.25,66.18
432,553,137,6,755.87,99.28
433,403,131,4,5017.19,75.62
434,306,475,9,2573.56,37.93
435,236,254,8,2109.65,27.56
436,116,33,7,3708.79,93.62
437,17,247,4,450.38,59.39
438,458,50,4,4456.22,40.23
439,240,223,1,883.81,99.35
440,240,327,10,3607.61,67.25
441,329,243,5,5263.74,98.57
442,534,227,7,1837.98,6.1
443,606,180,7,3357.31,4.69
444,353,391,9,1946.47,41.63
445,153,308,7,1144.08,53.79
446,247,231,5,5152.37,14.44
447,475,60,9,2505.43,41.65
448,543,138,7,1495.01,20.33
449,663,81,8,5090.44,9.25
450,196,53,5,2294.15,60.5
451,41,75,4,4837.67,58.76
452,688,223,8,1292.89,90.7
453,311,16,4,5626.1,96.21
454,121,491,4,4188.98,70.38
455,407,246,9,1963.61,28.31
456,478,368,5,1606.29,51.28
457,510,478,-1,4826.76,72.24
458,328,209,6,1911.89,4.57
459,227,150,1,1601.61,93.48
460,594,428,5,956.85,32.99
461,389,252,8,3326.32,94.35
462,346,264,8,5800.72,64.17
463,503,472,3,4409.99,35.22
464,144,501,3,5505.55,54.21
465,658,61,9,251.25,84.67
466,685,50,1,2503.73,84.25
467,237,70,3,104.39,50.57
468,383,62,10,3844.49,93.39
469,495,500,1,89.34,55.16
470,13,18,9,4347.05,53.57
471,294,18,9,4888.29,67.4
472,184,110,2,3170.09,24.1
473,635,259,6,1640.58,39.69
474,383,416,8,3411.76,99.02
475,232,308,2,3939.73,85.82
476,33,96,7,2306.62,55.27
477,58,10,3,541.98,84.53
478,661,340,10,5865.11,97.38
479,541,44,4,1307.93,86.81
480,581,487,5,327.04,7.43
481,288,34,3,5576.16,31.45
482,213,148,7,5576.81,29.93
483,578,247,10,5016.17,38.92
484,554,340,7,4545.88,14.0
485,81,513,6,369.49,43.71
486,78,349,10,4625.58,95.49
487,407,335,1,3823.03,78.35
488,462,503,4,2167.08,94.11
489,443,191,10,3981.0,8.57
490,634,303,4,4293.0,8.2
491,158,390,3,4450.95,31.67
492,110,94,1,5660.61,44.47
493,277,105,3,569.42,43.1
494,571,418,2,206.26,35.39
495,96,333,7,123.43,41.38
496,87,249,10,3150.57,68.53
497,174,143,5,1841.73,49.31
498,65,172,7,1691.97,29.98
499,79,370,5,5668.12,72.09
500,508,201,8,686.49,30.47
